sample_id,Ice 1e6 A,Ice 1e6 B,Ice 1e6 C,Initial 1e5 A,Initial 1e5 B,Initial 1e5 C,Initial 1e6 A,Initial 1e6 B,Initial 1e6 C,Initial 2e4 A,Initial 2e4 B,Initial 2e4 C,Initial 5e4 A,Initial 5e4 B,Initial 5e4 C,Initial 5e5 A,Initial 5e5 B,Initial 5e5 C,Sep 1e6 A,Sep 1e6 B,Sep 1e6 C
cell_type,Ice 1e6,Ice 1e6,Ice 1e6,Initial 1e5,Initial 1e5,Initial 1e5,Initial 1e6,Initial 1e6,Initial 1e6,Initial 2e4,Initial 2e4,Initial 2e4,Initial 5e4,Initial 5e4,Initial 5e4,Initial 5e5,Initial 5e5,Initial 5e5,Sep 1e6,Sep 1e6,Sep 1e6
1-Methyladenosine,4.49E+04,3.14E+04,5.50E+04,2.50E+04,1.00E+03,1.71E+04,1.63E+05,1.11E+05,1.20E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,6.89E+04,6.85E+04,5.60E+04,2.03E+04,1.00E+03,3.38E+04
2-Hydroxyglutaric acid,8.14E+05,8.17E+05,8.25E+05,7.59E+05,7.32E+05,7.31E+05,1.13E+06,1.98E+06,1.41E+06,4.04E+05,9.83E+05,9.99E+05,4.61E+05,2.96E+05,7.55E+05,7.54E+05,6.96E+05,1.04E+06,5.43E+05,6.90E+05,8.40E+05
2-Ketohexanoic acid,8.56E+07,7.46E+07,8.95E+07,4.76E+07,5.06E+07,6.72E+07,1.10E+08,1.27E+08,9.39E+07,7.22E+07,4.87E+07,2.76E+07,8.35E+07,7.11E+07,6.26E+07,1.04E+08,9.43E+07,9.38E+07,9.15E+07,8.20E+07,8.87E+07
3-Hydroxybutyric acid,3.76E+05,3.59E+05,4.39E+05,1.00E+03,1.00E+03,1.00E+03,8.52E+05,1.04E+06,7.38E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,6.53E+05,7.29E+05,6.53E+05,6.51E+05,4.38E+05,1.00E+03
4-Hydroxyphenylpyruvic acid,1.00E+03,1.00E+03,1.00E+03,1.43E+04,1.00E+03,1.39E+04,6.89E+04,7.26E+04,9.57E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,3.33E+04,4.07E+04,4.90E+04,1.00E+03,1.00E+03,1.00E+03
5'-Methylthioadenosine,3.49E+06,3.14E+06,2.98E+06,1.44E+05,1.67E+05,3.44E+05,4.27E+06,3.82E+06,4.74E+06,3.28E+04,1.30E+04,2.87E+04,9.16E+04,8.60E+04,1.44E+05,1.53E+06,1.86E+06,1.74E+06,2.52E+06,2.17E+06,1.98E+06
Acetylcholine,7.15E+06,7.37E+06,7.29E+06,9.33E+05,6.94E+05,8.34E+05,8.06E+06,8.57E+06,7.61E+06,3.90E+05,1.19E+05,2.95E+05,6.34E+05,6.38E+05,5.29E+05,3.67E+06,3.38E+06,3.64E+06,4.35E+06,3.14E+06,2.97E+06
Adenine,2.25E+05,2.30E+05,2.05E+05,1.32E+05,1.43E+05,1.60E+05,1.11E+06,1.38E+06,1.10E+06,5.57E+04,5.46E+04,8.74E+04,1.40E+05,9.94E+04,7.88E+04,6.52E+05,6.14E+05,5.68E+05,1.29E+05,2.06E+05,1.49E+05
Adenosine,2.37E+06,3.61E+06,2.68E+06,7.44E+05,6.25E+05,5.74E+05,8.66E+06,5.48E+06,1.54E+07,1.02E+05,1.98E+05,1.79E+05,4.28E+05,4.50E+05,1.60E+05,7.09E+06,8.81E+06,1.58E+07,2.75E+06,4.07E+06,4.03E+06
Adenosine monophosphate,4.55E+05,5.37E+05,4.14E+05,3.84E+04,5.46E+04,6.80E+04,1.86E+05,2.21E+05,2.09E+05,3.14E+04,1.67E+04,1.87E+04,2.91E+04,4.60E+04,1.00E+03,1.16E+05,1.51E+05,1.71E+05,2.67E+05,4.35E+05,3.40E+05
ADP,4.14E+05,5.00E+05,2.61E+05,2.57E+04,2.50E+04,3.52E+04,4.38E+05,5.17E+05,6.27E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.83E+05,2.70E+05,2.89E+05,1.28E+05,1.19E+05,4.29E+05
Biotin,1.00E+03,1.00E+03,1.00E+03,1.01E+05,1.00E+03,1.71E+05,5.18E+05,5.11E+05,6.61E+05,1.00E+03,1.00E+03,6.47E+04,1.14E+05,1.00E+03,1.00E+03,2.61E+05,2.24E+05,2.83E+05,1.00E+03,1.00E+03,1.00E+03
cADP-ribose,1.13E+05,1.33E+05,8.97E+04,1.00E+03,1.00E+03,1.76E+04,1.57E+05,1.16E+05,1.48E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,7.91E+04,8.42E+04,7.91E+04,4.86E+04,6.20E+04,5.04E+04
Carbamoyl phosphate,9.90E+04,7.31E+04,1.11E+05,1.00E+03,1.00E+03,1.34E+04,1.06E+05,1.05E+05,9.02E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.80E+04,3.58E+04,4.69E+04,5.36E+04,3.14E+04,2.64E+04
Carnitine,2.22E+05,2.65E+05,5.95E+05,1.33E+05,8.69E+04,1.60E+05,8.41E+05,7.11E+05,4.60E+05,1.78E+04,3.10E+04,3.10E+04,7.54E+04,4.49E+04,6.20E+04,5.83E+05,5.26E+05,4.14E+05,3.03E+05,1.80E+05,2.63E+05
Choline,6.81E+06,8.14E+06,8.87E+06,1.49E+06,1.30E+06,1.40E+06,8.91E+06,8.58E+06,8.69E+06,5.54E+05,1.79E+05,3.95E+05,8.19E+05,5.56E+05,6.27E+05,5.53E+06,4.55E+06,6.17E+06,6.21E+06,4.92E+06,6.69E+06
cis-Aconitic acid,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,2.32E+05,2.96E+05,2.40E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03
Citraconic acid,9.67E+07,8.33E+07,1.03E+08,5.33E+07,5.71E+07,7.58E+07,1.24E+08,1.43E+08,1.05E+08,8.38E+07,5.81E+07,3.26E+07,9.53E+07,8.20E+07,7.29E+07,1.10E+08,1.08E+08,1.06E+08,1.00E+08,9.29E+07,9.43E+07
Citric acid,8.48E+06,7.52E+06,8.39E+06,2.46E+06,1.20E+06,2.46E+06,2.91E+07,2.55E+07,2.77E+07,4.54E+05,4.71E+05,8.79E+05,1.57E+06,9.43E+05,1.33E+06,1.26E+07,8.66E+06,1.24E+07,9.81E+05,2.63E+06,3.18E+06
Cobalamin,9.25E+03,1.00E+03,1.34E+04,1.71E+04,1.00E+03,1.00E+03,7.45E+04,5.73E+04,3.33E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,2.36E+04,1.00E+03,1.00E+03,1.99E+04,4.30E+04
Creatine,3.98E+04,8.12E+04,7.58E+04,3.79E+04,1.00E+03,1.00E+03,6.71E+04,6.75E+04,5.78E+04,1.00E+03,1.00E+03,1.80E+04,1.00E+03,1.00E+03,1.00E+03,3.98E+04,4.90E+04,3.75E+04,3.65E+04,3.19E+04,5.99E+04
Creatinine,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,9.80E+04,6.98E+04,9.62E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,4.88E+04
Cytidine,1.48E+05,1.52E+05,2.59E+05,3.63E+05,1.92E+04,2.87E+04,2.38E+05,1.66E+05,2.53E+05,2.08E+04,2.54E+04,3.40E+05,1.85E+04,7.86E+03,1.43E+04,1.14E+05,1.56E+05,2.28E+05,1.11E+05,1.76E+05,1.04E+05
Cytidine monophosphate,1.64E+05,2.44E+05,1.71E+05,1.85E+04,1.90E+04,1.85E+04,2.50E+05,2.46E+05,1.66E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,7.54E+04,1.81E+05,8.74E+04,1.44E+05,1.60E+05,1.10E+05
Deoxyadenosine monophosphate,9.11E+05,6.53E+05,3.94E+05,1.21E+05,3.33E+04,9.39E+04,1.53E+06,1.09E+06,8.68E+05,1.00E+03,1.00E+03,1.00E+03,5.80E+04,3.79E+04,5.46E+04,5.79E+05,5.11E+05,5.04E+05,3.24E+05,5.35E+05,4.53E+05
Deoxycytidine,1.00E+03,1.00E+03,1.48E+04,4.72E+04,1.00E+03,1.00E+03,2.40E+04,1.94E+04,1.20E+04,1.00E+03,1.00E+03,4.49E+04,1.00E+03,1.00E+03,1.00E+03,1.11E+04,1.00E+03,1.76E+04,1.00E+03,1.00E+03,1.00E+03
D-Glucose,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,4.00E+04,7.35E+04,4.39E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,3.10E+04,1.00E+03,4.39E+04,1.00E+03,1.00E+03,1.00E+03
D-Glutamic acid,1.54E+06,1.05E+06,1.57E+06,1.57E+05,1.14E+05,1.42E+05,1.73E+06,1.79E+06,1.38E+06,1.94E+04,1.94E+04,3.65E+04,9.62E+04,5.23E+04,9.53E+04,8.12E+05,6.83E+05,8.97E+05,6.25E+05,5.18E+05,4.71E+05
Dimethylglycine,1.23E+06,1.36E+06,2.19E+06,2.52E+05,2.69E+05,2.45E+05,1.71E+06,1.69E+06,1.36E+06,8.60E+04,3.98E+04,9.20E+04,1.17E+05,1.19E+05,1.34E+05,1.19E+06,9.02E+05,9.86E+05,1.66E+06,1.09E+06,1.23E+06
Dodecanoylcarnitine,1.08E+05,9.62E+04,1.29E+05,5.81E+04,5.76E+04,6.37E+04,2.14E+05,2.15E+05,1.60E+05,1.02E+05,6.98E+04,5.48E+04,8.25E+04,1.23E+05,5.57E+04,1.36E+05,1.49E+05,1.77E+05,1.28E+05,1.46E+05,1.17E+05
Folic acid,1.00E+03,1.00E+03,1.00E+03,2.50E+05,1.84E+05,5.99E+05,2.79E+06,3.44E+06,4.07E+06,3.28E+04,2.31E+04,1.15E+05,1.54E+05,1.24E+05,1.11E+05,2.00E+06,1.15E+06,1.54E+06,1.00E+03,1.48E+04,1.62E+04
Gamma-Aminobutyric acid,2.99E+06,3.15E+06,4.71E+06,5.57E+05,4.52E+05,6.12E+05,3.27E+06,2.87E+06,3.49E+06,1.72E+05,7.86E+04,1.86E+05,3.88E+05,2.58E+05,4.74E+05,2.35E+06,2.23E+06,2.13E+06,2.82E+06,2.14E+06,2.52E+06
Gluconic acid,1.62E+04,1.00E+03,2.96E+04,4.25E+04,1.00E+03,8.79E+03,3.05E+04,3.93E+04,2.64E+04,1.00E+03,1.00E+03,1.71E+04,1.00E+03,1.00E+03,1.00E+03,1.76E+04,2.50E+04,2.45E+04,1.00E+03,1.00E+03,1.00E+03
Glutathione,3.80E+05,6.78E+05,3.03E+05,1.00E+03,1.00E+03,1.00E+03,2.70E+05,1.81E+05,1.41E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.97E+05,2.53E+05,1.49E+05,1.95E+05,4.06E+05,3.93E+05
Glycerol 3-phosphate,1.05E+05,6.50E+04,1.23E+05,1.00E+03,1.00E+03,1.00E+03,6.29E+04,5.92E+04,6.43E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,2.71E+04,1.00E+03,3.38E+04,5.46E+04,4.05E+04,3.42E+04
Glycerophosphocholine,9.97E+06,1.34E+07,1.23E+07,3.28E+06,1.99E+06,3.37E+06,1.88E+07,1.92E+07,1.56E+07,4.19E+05,1.38E+05,3.76E+05,1.74E+06,1.28E+06,1.72E+06,7.08E+06,1.01E+07,9.76E+06,5.42E+06,4.82E+06,4.60E+06
Guanidoacetic acid,1.67E+05,2.13E+05,2.42E+05,2.89E+05,2.25E+05,4.75E+05,1.94E+06,2.95E+06,2.18E+06,1.09E+05,1.00E+03,9.94E+04,9.69E+04,8.08E+04,1.00E+03,2.22E+06,6.76E+05,9.23E+05,8.83E+04,1.36E+05,1.41E+05
Guanine,3.14E+04,6.13E+04,2.91E+04,1.00E+03,1.62E+04,1.67E+04,2.73E+04,2.29E+04,1.90E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.18E+04,2.41E+04,3.07E+04,1.43E+04,2.36E+04,9.39E+04,6.20E+04
Guanosine,1.92E+05,3.45E+05,1.90E+05,2.91E+04,4.58E+04,4.86E+04,5.79E+05,6.30E+05,8.22E+05,2.03E+04,6.47E+04,2.64E+04,1.00E+03,1.53E+04,1.00E+03,1.71E+05,2.30E+05,2.71E+05,3.27E+05,3.93E+05,3.63E+05
Guanosine monophosphate,6.10E+05,6.12E+05,5.57E+05,4.49E+04,1.00E+03,1.00E+03,4.09E+05,4.97E+05,4.30E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,2.13E+05,2.97E+05,2.59E+05,3.42E+05,7.26E+05,5.46E+05
Hypoxanthine,1.66E+05,1.35E+05,1.32E+05,2.77E+04,2.45E+04,6.10E+04,2.02E+05,1.77E+05,2.59E+05,1.00E+03,3.05E+04,2.68E+04,2.08E+04,1.94E+04,1.53E+04,1.19E+05,1.03E+05,1.19E+05,5.69E+04,4.53E+04,4.58E+04
Indole,1.57E+05,2.80E+05,2.97E+05,1.50E+05,7.64E+04,2.25E+05,1.48E+06,1.75E+06,1.47E+06,9.90E+04,9.67E+04,7.21E+04,1.05E+05,5.15E+04,4.90E+04,9.49E+05,7.19E+05,1.03E+06,1.25E+05,5.00E+04,9.98E+04
Inosine,5.67E+05,8.71E+05,6.33E+05,4.05E+04,5.45E+04,8.05E+04,7.77E+05,6.16E+05,1.52E+06,7.54E+04,1.00E+03,4.16E+04,4.76E+04,8.35E+04,2.64E+04,4.71E+05,6.03E+05,4.42E+05,1.12E+06,1.24E+06,8.15E+05
Inosinic acid,8.17E+05,1.28E+06,9.40E+05,7.05E+04,6.68E+04,7.79E+04,2.22E+05,3.10E+05,2.91E+05,3.28E+04,2.17E+04,3.75E+04,4.76E+04,6.94E+04,1.97E+04,2.03E+05,2.00E+05,2.36E+05,5.25E+05,7.26E+05,5.35E+05
Isovalerylcarnitine,4.85E+05,4.72E+05,5.58E+05,9.32E+04,9.30E+04,1.23E+05,7.66E+05,7.72E+05,8.54E+05,4.44E+04,1.30E+05,4.25E+04,4.16E+04,4.16E+04,5.50E+04,3.64E+05,4.08E+05,4.46E+05,3.46E+05,2.83E+05,2.83E+05
